Time,x_d,y_d,theta_d,delta_,v_,ddelta_dt
8.206839,2.4726552,-1.7356085,-1.7631184,-0.5253456,0.4670356,0.1906244
8.2568807,2.4686547,-1.7555001,-1.7753631,-0.5157813,0.4677236,0.1912856
8.3069224,2.464383,-1.7754808,-1.7874216,-0.506198,0.468496,0.1916663
8.3569641,2.4598407,-1.7955501,-1.799294,-0.4966092,0.4693539,0.1917753
8.4070058,2.4550281,-1.8157073,-1.8109806,-0.4870281,0.4702978,0.1916222
8.4570475,2.4499459,-1.835952,-1.8224819,-0.4774673,0.4713278,0.1912175
8.5070892,2.4445946,-1.8562836,-1.8337988,-0.4679386,0.4724441,0.1905722
8.5571309,2.4389747,-1.8767015,-1.844932,-0.4584537,0.4736463,0.189698
8.6071726,2.4330869,-1.8972052,-1.8558826,-0.4490234,0.4749339,0.1886069
8.6572143,2.4269319,-1.9177941,-1.8666518,-0.4396578,0.4763061,0.1873115
8.707256,2.4205103,-1.9384676,-1.8772409,-0.4303666,0.4777619,0.1858243
8.7572977,2.4138228,-1.9592252,-1.8876513,-0.4211587,0.4793001,0.1841583
8.8073394,2.4068701,-1.9800663,-1.8978846,-0.4120424,0.4809194,0.1823262
8.8573812,2.3996531,-2.0009904,-1.9079424,-0.4030253,0.482618,0.1803411
8.9074229,2.3921725,-2.0219968,-1.9178264,-0.3941146,0.4843944,0.1782156
8.9574646,2.3844291,-2.0430849,-1.9275386,-0.3853164,0.4862468,0.1759624
9.0075063,2.3764238,-2.0642543,-1.9370807,-0.3766367,0.488173,0.1735938
9.057548,2.3681575,-2.0855043,-1.9464548,-0.3680806,0.4901711,0.1711219
9.1075897,2.359631,-2.1068343,-1.9556628,-0.3596527,0.4922389,0.1685583
9.1576314,2.3508454,-2.1282438,-1.9647068,-0.351357,0.4943741,0.1659143
9.2076731,2.3418015,-2.1497321,-1.9735889,-0.343197,0.4965744,0.1632008
9.2577148,2.3325004,-2.1712987,-1.9823113,-0.3351756,0.4988375,0.1604281
9.3077565,2.3229431,-2.192943,-1.9908762,-0.3272953,0.501161,0.1576061
9.3577982,2.3131306,-2.2146644,-1.9992857,-0.3195581,0.5035423,0.1547443
9.4078399,2.303064,-2.2364623,-2.007542,-0.3119655,0.5059791,0.1518513
9.4578816,2.2927445,-2.258336,-2.0156474,-0.3045187,0.5084688,0.1489356
9.5079233,2.2821731,-2.2802851,-2.0236042,-0.2972185,0.511009,0.146005
9.557965,2.271351,-2.3023088,-2.0314145,-0.2900651,0.5135972,0.1430667
9.6080067,2.2602795,-2.3244066,-2.0390806,-0.2830587,0.516231,0.1401274
9.6580484,2.2489596,-2.3465779,-2.0466047,-0.2761991,0.5189078,0.1371934
9.7080901,2.2373927,-2.3688221,-2.0539892,-0.2694856,0.5216253,0.1342704
9.7581318,2.2255801,-2.3911385,-2.0612361,-0.2629174,0.524381,0.1313637
9.8081735,2.213523,-2.4135265,-2.0683478,-0.2564935,0.5271725,0.1284781
9.8582152,2.2012227,-2.4359856,-2.0753263,-0.2502126,0.5299975,0.1256179
9.9082569,2.1886807,-2.4585151,-2.082174,-0.2440732,0.5328536,0.122787
9.9582986,2.1758982,-2.4811144,-2.0888928,-0.2380738,0.5357387,0.119989
10.0083403,2.1628767,-2.5037829,-2.0954851,-0.2322124,0.5386504,0.117227
10.058382,2.1496177,-2.5265199,-2.1019529,-0.2264872,0.5415865,0.1145037
10.1084237,2.1361225,-2.5493248,-2.1082982,-0.2208961,0.544545,0.1118217
10.1584654,2.1223927,-2.572197,-2.1145232,-0.215437,0.5475236,0.1091829
10.2085071,2.1084297,-2.5951359,-2.1206298,-0.2101075,0.5505204,0.1065893
10.2585488,2.0942352,-2.6181409,-2.1266202,-0.2049054,0.5535332,0.1040424
10.3085905,2.0798106,-2.6412112,-2.1324962,-0.1998282,0.5565602,0.1015434
